video_id,image_id,frame_gap,student_map,student_map50,oracle_map,oracle_map50,map_gap,map50_gap,cosine_s5_prev,l1_s5_prev,max_abs_diff_s5_prev,cosine_s5_anchor,l1_s5_anchor,max_abs_diff_s5_anchor,oracle_mean_score,student_mean_score
MOT17-10-FRCNN,1353,1,0.4760053653963915,0.7734196828575622,0.5512407728391892,0.8444929787096358,0.07523540744279766,0.07107329585207356,0.932364821434021,0.1753106266260147,0.36218708753585815,0.9626225829124451,0.12863053381443024,0.24382421374320984,0.1578068882226944,0.22455994784832
MOT17-10-FRCNN,1355,1,0.36213874440824495,0.7128389715083371,0.5375655539036792,0.8617053210277053,0.17542680949543427,0.14886634951936817,0.9431024789810181,0.15441501140594482,0.3019585609436035,0.9544409513473511,0.13734377920627594,0.2517012357711792,0.1630081981420517,0.22576148808002472
MOT17-10-FRCNN,1357,1,0.35417440719514026,0.7213870475856873,0.45568553518527694,0.8240412678908159,0.10151112799013667,0.10265422030512861,0.9419986605644226,0.15738451480865479,0.3056085705757141,0.9488654136657715,0.14802177250385284,0.2713932394981384,0.16252420842647552,0.21184691786766052
MOT17-10-FRCNN,1359,1,0.33735721330535984,0.6412942968869635,0.4328540465422236,0.7396920253723737,0.09549683323686375,0.09839772848541017,0.9165213704109192,0.19146795570850372,0.35220780968666077,0.9321631193161011,0.17361758649349213,0.35449910163879395,0.15591192245483398,0.21211972832679749
MOT17-10-FRCNN,1361,1,0.3579358791165308,0.7384488448844886,0.5078995553115337,0.8460140899000386,0.14996367619500295,0.10756524501554998,0.9056007862091064,0.20135043561458588,0.38806837797164917,0.8916574716567993,0.22131267189979553,0.3854365348815918,0.16578644514083862,0.2174544781446457
MOT17-10-FRCNN,1363,1,0.44544194659480546,0.9212260511765463,0.48526427181446674,0.9297982903880448,0.03982232521966128,0.008572239211498522,0.9285945892333984,0.17673644423484802,0.2889673113822937,0.94106125831604,0.16003765165805817,0.2958288788795471,0.1480584442615509,0.20145432651042938
MOT17-10-FRCNN,1365,1,0.483323862744766,0.9426301501117853,0.43893852154206864,0.9966996699669967,-0.04438534120269738,0.054069519855211357,0.928975522518158,0.17563430964946747,0.33368295431137085,0.9257873296737671,0.1825045347213745,0.3613164722919464,0.16180340945720673,0.20229683816432953
MOT17-10-FRCNN,1367,1,0.4292561804018486,0.8018687114143569,0.43275591107013717,0.8917651655275418,0.00349973066828857,0.08989645411318492,0.9440855979919434,0.15724730491638184,0.3569098711013794,0.9630577564239502,0.12718278169631958,0.2624482214450836,0.16218674182891846,0.2139974981546402
MOT17-10-FRCNN,1369,1,0.4436208076260757,0.8489816124469588,0.46074761864777025,0.9221951606925402,0.017126811021694555,0.07321354824558135,0.9521154165267944,0.14288778603076935,0.31832170486450195,0.9652270674705505,0.12205048650503159,0.27785107493400574,0.17211392521858215,0.22035008668899536
MOT17-10-FRCNN,1371,1,0.420936758177398,0.8843244572904494,0.4928340733817129,0.8757566040004809,0.07189731520431492,-0.008567853289968452,0.938439130783081,0.16125862300395966,0.34528619050979614,0.9643286466598511,0.1256043016910553,0.2383568286895752,0.15994755923748016,0.20761317014694214
MOT17-10-FRCNN,1373,1,0.3343357609128796,0.6753413719904052,0.36888350851069474,0.8146153038949214,0.03454774759781515,0.1392739319045162,0.8930995464324951,0.21802695095539093,0.37167131900787354,0.8981705904006958,0.21219280362129211,0.42535555362701416,0.15311793982982635,0.2009790539741516
MOT17-10-FRCNN,1375,1,0.33368443082632754,0.6594117682255909,0.5436601934396457,0.9078903590311252,0.20997576261331813,0.24847859080553436,0.8959938287734985,0.21887731552124023,0.607847273349762,0.9110079407691956,0.203948512673378,0.6158246994018555,0.16125336289405823,0.2047037035226822
MOT17-10-FRCNN,1377,1,0.4381627592570514,0.9053242762151746,0.5886866700315619,1.0,0.15052391077451055,0.09467572378482536,0.9316202998161316,0.17814858257770538,0.5412735939025879,0.9414339065551758,0.1642189919948578,0.41477352380752563,0.16060112416744232,0.20740047097206116
MOT17-10-FRCNN,1379,1,0.4903438693136146,0.9560167162227057,0.623322605492271,0.9752475247524751,0.1329787361786564,0.01923080852976944,0.9596084356307983,0.1366601586341858,0.2874758243560791,0.9244369864463806,0.1866970807313919,0.39264070987701416,0.1521819829940796,0.20757754147052765
MOT17-10-FRCNN,1381,1,0.39456436728677974,0.9116414756093554,0.5454106247233104,0.8977366922738789,0.15084625743653063,-0.013904783335476512,0.9494740962982178,0.14977173507213593,0.3166172504425049,0.9399313926696777,0.16753171384334564,0.33474889397621155,0.15425705909729004,0.20596878230571747
MOT17-10-FRCNN,1383,1,0.4810936941374219,0.943720687858259,0.5396108360836084,0.898074807480748,0.05851714194618646,-0.04564588037751105,0.964669942855835,0.12487048655748367,0.25474271178245544,0.9667246341705322,0.12327628582715988,0.2619146704673767,0.16249193251132965,0.22459687292575836
MOT17-10-FRCNN,1385,1,0.45184322509743796,0.8762612600782624,0.5361299426645962,0.9445544554455445,0.08428671756715828,0.06829319536728207,0.9607840776443481,0.13213473558425903,0.3987656831741333,0.9679622650146484,0.12186438590288162,0.3311983048915863,0.14695635437965393,0.21800507605075836
MOT17-10-FRCNN,1387,1,0.4696151442161294,0.8512054461748696,0.4326205520856413,0.8060978892006849,-0.03699459213048806,-0.04510755697418467,0.8650587201118469,0.2562480866909027,0.5493355393409729,0.9096097350120544,0.20855817198753357,0.40956270694732666,0.16096952557563782,0.1982538402080536
MOT17-10-FRCNN,1389,1,0.5318718017212302,0.8956080223406953,0.5621246052000627,0.927557755775578,0.030252803478832524,0.03194973343488272,0.8987361192703247,0.22028060257434845,0.4020874798297882,0.9521347284317017,0.15224848687648773,0.30185607075691223,0.16118459403514862,0.21735046803951263
MOT17-10-FRCNN,1391,1,0.3840978837541745,0.837982012061649,0.4728407685191923,0.8171162865274383,0.08874288476501785,-0.020865725534210733,0.9555525779724121,0.1476621776819229,0.3132525086402893,0.92583167552948,0.18919266760349274,0.41245999932289124,0.16070005297660828,0.2064390927553177
MOT17-10-FRCNN,1393,1,0.43146348564197057,0.8717734676693477,0.5006283613509505,0.9078261716114686,0.06916487570897989,0.0360527039421209,0.9421653747558594,0.16916978359222412,0.3036918044090271,0.9362499117851257,0.17140240967273712,0.30800262093544006,0.14888377487659454,0.19833797216415405
