video_id,image_id,frame_gap,student_map,student_map50,oracle_map,oracle_map50,map_gap,map50_gap,cosine_s5_prev,l1_s5_prev,max_abs_diff_s5_prev,smoothed_max_diff_s5_prev,topk_mean_diff_s5_prev,cosine_s5_anchor,l1_s5_anchor,max_abs_diff_s5_anchor,smoothed_max_diff_s5_anchor,topk_mean_diff_s5_anchor,oracle_mean_score,student_mean_score,oracle_num_dets,student_num_dets
MOT17-10-FRCNN,1123,1,0.3346838375788043,0.6826165588695093,0.3772240748360525,0.6738922987321357,0.042540237257248203,-0.008724260137373596,0.9436743855476379,0.15096479654312134,0.3429000675678253,0.28987157344818115,0.29940035939216614,0.9726897478103638,0.10319623351097107,0.22060570120811462,0.18150655925273895,0.2010488510131836,0.13813576102256775,0.17477895319461823,300,300
MOT17-10-FRCNN,1125,1,0.3510717806729542,0.7926669137501986,0.3956339799698237,0.7170352749560671,0.0445621992968695,-0.07563163879413148,0.932363748550415,0.16924014687538147,0.32890886068344116,0.2962672710418701,0.31031545996665955,0.9670238494873047,0.1182321161031723,0.24776709079742432,0.20548298954963684,0.22414667904376984,0.13929392397403717,0.18313716351985931,300,300
MOT17-10-FRCNN,1127,1,0.2544632380938654,0.5471857185718572,0.3522905760584752,0.6219115014949771,0.0978273379646098,0.07472578292311993,0.9029411673545837,0.20678268373012543,0.36587783694267273,0.3188692331314087,0.34510692954063416,0.8284940719604492,0.28232935070991516,0.5663840174674988,0.5040962100028992,0.5067276358604431,0.1411607265472412,0.14963722229003906,300,300
MOT17-10-FRCNN,1129,1,0.37534638253588987,0.7699691551231863,0.37644408472497337,0.7008039901734534,0.0010977021890835048,-0.0691651649497329,0.8808077573776245,0.22869543731212616,0.4138832092285156,0.332507848739624,0.36968716979026794,0.9346303343772888,0.16943331062793732,0.266766756772995,0.222409188747406,0.24803535640239716,0.15620048344135284,0.18081209063529968,300,300
MOT17-10-FRCNN,1131,1,0.4332694675533528,0.7830154057876832,0.401295790737536,0.7219750546483221,-0.03197367681581681,-0.061040351139361126,0.9275352954864502,0.1764230728149414,0.41286128759384155,0.3021133840084076,0.3245602250099182,0.9361894130706787,0.16373944282531738,0.3479158878326416,0.30952587723731995,0.3158397376537323,0.15906451642513275,0.17844976484775543,300,300
MOT17-10-FRCNN,1133,1,0.42110811499252837,0.7977429098842087,0.43895300652876684,0.7138282003162609,0.017844891536238472,-0.08391470956794778,0.9343883991241455,0.1663207709789276,0.3269891142845154,0.2608080208301544,0.2876500189304352,0.9421840310096741,0.1601576805114746,0.3284788727760315,0.291861891746521,0.30278611183166504,0.15804271399974823,0.18357589840888977,300,300
MOT17-10-FRCNN,1135,1,0.5684947081340693,0.7815958066394875,0.5256940730241866,0.7392739273927393,-0.042800635109882745,-0.04232187924674813,0.914101243019104,0.19467075169086456,0.42496705055236816,0.33734381198883057,0.38871070742607117,0.9535703063011169,0.14169876277446747,0.27420610189437866,0.2227371484041214,0.25116023421287537,0.14752772450447083,0.18953120708465576,300,300
MOT17-10-FRCNN,1137,1,0.47881570463723067,0.7782699322563835,0.49248324706552266,0.7233146391562234,0.01366754242829199,-0.05495529310016012,0.9203965663909912,0.191055566072464,0.4690077006816864,0.3737574815750122,0.37183770537376404,0.9501514434814453,0.1484992355108261,0.3768848776817322,0.2895641624927521,0.3009577691555023,0.14394511282444,0.17709952592849731,300,300
MOT17-10-FRCNN,1139,1,0.3851262901191519,0.6877577631488259,0.5009488082586363,0.7632359093407269,0.11582251813948441,0.07547814619190107,0.8994797468185425,0.21033988893032074,0.705369234085083,0.5611075162887573,0.5619841814041138,0.9208455085754395,0.18047888576984406,0.5005550384521484,0.40003299713134766,0.45892950892448425,0.15301084518432617,0.17735549807548523,300,300
MOT17-10-FRCNN,1141,1,0.3890349395123571,0.7145764576457645,0.4204437265182695,0.7151561309977152,0.031408787005912375,0.0005796733519507491,0.8667135238647461,0.25337886810302734,0.44116324186325073,0.40735891461372375,0.41885098814964294,0.8889733552932739,0.22809788584709167,0.42315158247947693,0.3895063102245331,0.40172621607780457,0.14674632251262665,0.1852806806564331,300,300
MOT17-10-FRCNN,1143,1,0.3866717124724961,0.7678167090756264,0.4272919010211741,0.7542054599563007,0.04062018854867799,-0.013611249119325652,0.8748311996459961,0.24535924196243286,0.45968419313430786,0.42264753580093384,0.433600515127182,0.9464658498764038,0.14824838936328888,0.30569028854370117,0.25929081439971924,0.26487138867378235,0.15992718935012817,0.18208198249340057,300,300
MOT17-10-FRCNN,1145,1,0.4105323570163377,0.7727366854332492,0.47436476257058174,0.7676503820594827,0.06383240555424402,-0.0050863033737665875,0.9151167869567871,0.18378593027591705,0.42199409008026123,0.34637975692749023,0.36824581027030945,0.9531377553939819,0.13394023478031158,0.3014112412929535,0.27169376611709595,0.2727067470550537,0.16608525812625885,0.18894141912460327,300,300
MOT17-10-FRCNN,1147,1,0.44612657689084523,0.8430693069306932,0.4423974611724957,0.8201770549263363,-0.0037291157183495516,-0.02289225200435685,0.9356533288955688,0.15823541581630707,0.3312055170536041,0.2998135983943939,0.3150097727775574,0.9640890955924988,0.11796567589044571,0.25019150972366333,0.2067127376794815,0.23300109803676605,0.16753438115119934,0.19622494280338287,300,300
MOT17-10-FRCNN,1149,1,0.37682362572736006,0.753379250968575,0.38499223082639195,0.7156713748297907,0.00816860509903189,-0.037707876138784346,0.923049807548523,0.17101562023162842,0.38787510991096497,0.32725366950035095,0.3694513738155365,0.9382490515708923,0.15160349011421204,0.37163907289505005,0.30362969636917114,0.3438437581062317,0.16230472922325134,0.20128916203975677,300,300
MOT17-10-FRCNN,1151,1,0.3232650061940302,0.6653522495106653,0.36609822596023495,0.7137035714956694,0.042833219766204744,0.048351321985004136,0.9430330991744995,0.14737452566623688,0.35785341262817383,0.27243760228157043,0.32132378220558167,0.9689129590988159,0.10852449387311935,0.21137118339538574,0.185000479221344,0.19770334661006927,0.1655832976102829,0.19343549013137817,300,300
MOT17-10-FRCNN,1153,1,0.31991832279898175,0.7331828567472133,0.3443957592357338,0.7765927514410427,0.024477436436752043,0.04340989469382939,0.9349724054336548,0.160539910197258,0.4251660108566284,0.3444783389568329,0.34907031059265137,0.9616929292678833,0.12411622703075409,0.2815256118774414,0.22325819730758667,0.2435770481824875,0.15367229282855988,0.18899378180503845,300,300
